1,22.96,-86.25
1,23.1,-88.9
1,23.08,-90.2
1,23.2,-91.7
1,23.55,-92.75
1,24.1,-93.8
2,22.98,-86.25
2,23.01,-88.9
2,23.08,-90.2
2,23.2,-91.7
2,23.55,-92.75
2,24.9,-94.6
3,23.0,-87.5
3,23.05,-88.95
3,23.1,-90.4
3,23.35,-91.65
3,23.6,-92.9
3,24.9,-94.6
4,23.01,-88.24
4,23.08,-89.67
4,23.15,-91.1
4,23.5,-92.25
4,23.85,-93.4
4,25.33,-94.93
5,23.03,-88.97
5,23.14,-90.36
5,23.25,-91.75
5,23.7,-92.8
5,24.15,-93.85
5,25.78,-95.23
6,23.06,-89.69
6,23.23,-91.02
6,23.4,-92.35
6,23.95,-93.3
6,24.5,-94.25
6,26.25,-95.5
